id,title,state,created,closed,url,"closed, not updated"
8049,b'Docs: no mpivars.sh in openmpi',closed,2021-06-14T20:55:30Z,2021-06-28T21:44:51Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8049,True
8534,"b'installation instructions links to wrong URL for ""built from source""'",closed,2021-07-28T22:47:21Z,2021-08-02T18:49:31Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8534,True
8535,b'invalid HTTPS certificate on https://onnxruntime.ai',closed,2021-07-28T22:50:30Z,2021-08-03T04:27:07Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8535,True
8595,b'Links to Vitis-AI Execution Provider information broken',closed,2021-08-03T15:51:34Z,2021-09-08T22:52:12Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8595,True
8737,b'Gemm fails if optional input C is not provided',closed,2021-08-13T23:06:38Z,2021-08-16T17:34:55Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8737,True
8756,b'cannot access https://onnxruntime.ai/docs/how-to/build.html',closed,2021-08-17T18:05:31Z,2021-10-18T23:15:45Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8756,True
8818,"b'Add example usage of register_custom_ops_pytorch_exporter to ""Export PyTorch model"" doc'",closed,2021-08-23T23:05:33Z,2021-09-08T00:57:15Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8818,True
8872,b'[Documentation Request] ONNX GPU IOBinding example',closed,2021-08-27T17:34:36Z,2022-03-25T21:55:55Z,https://api.github.com/repos/microsoft/onnxruntime/issues/8872,True
8963,"b'Copyright/license data, especially for models'",open,2021-09-03T17:08:27Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/8963,False
9103,b'bad link to add-execution-provider doc page',closed,2021-09-17T20:09:22Z,2021-09-21T18:31:55Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9103,True
9110,b'Tutorial of building onnxruntime to wasm and call it by c++',closed,2021-09-17T23:20:04Z,2022-01-19T02:05:04Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9110,True
9288,b'[documentation] Broken link in build-interfacing docs',closed,2021-10-06T13:04:30Z,2021-10-18T23:11:53Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9288,True
1037,b'Update examples in documentation',closed,2019-05-15T10:49:59Z,2019-07-03T16:48:05Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1037,True
9517,b'Scikit-learn Logistic Regression page down',closed,2021-10-23T19:38:55Z,2021-10-25T18:48:08Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9517,True
9536,b'ONNX Runtime docs website search could be improved',closed,2021-10-25T21:15:56Z,2021-11-01T22:36:47Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9536,True
9871,b'Bart examples',closed,2021-11-29T13:15:56Z,2021-12-02T23:13:32Z,https://api.github.com/repos/microsoft/onnxruntime/issues/9871,True
9966,"b'Missing depencencies for the official Python wheel (or, lacking documentation?)'",open,2021-12-08T13:38:20Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/9966,False
10047,b'CUDA Cross-attention kernel',open,2021-12-15T15:17:08Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/10047,False
10324,b'rationalize documentation on ORT-Windows integration',closed,2022-01-19T19:17:47Z,2022-07-22T18:59:49Z,https://api.github.com/repos/microsoft/onnxruntime/issues/10324,True
10403,b'[Documentation] some quantized operators not present in ContribOperators.md',open,2022-01-26T20:17:06Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/10403,False
